vector_size,memory_peak_rss,memory_peak_python_interpreter,execute_time,comparisions,swappings
20,33.96484375,383536,0.7290151119232178,1330,93
30,34.05078125,383592,0.7290329933166504,3045,238
40,34.05078125,383505,0.7318460941314697,5460,431
50,33.828125,383244,0.782374382019043,8575,530
60,33.8515625,382988,0.7450706958770752,12390,852
70,33.83203125,382668,0.7530782222747803,16905,1129
80,34.17578125,381877,0.7349214553833008,22120,1364
90,34.01171875,380092,0.7375943660736084,28035,1960
100,33.93359375,382092,0.746166467666626,34650,2579
200,33.83203125,371559,0.35251712799072266,59700,10375
300,33.74609375,370721,0.4289133548736572,134550,22163
400,33.84375,365701,0.3168954849243164,159600,40770
500,33.83984375,365601,0.39963293075561523,249500,65145
600,33.82421875,365601,0.4957602024078369,359400,89991
700,33.9140625,356832,0.34807801246643066,244650,118175
800,33.796875,356768,0.4414327144622803,319600,155889
900,33.85546875,356704,0.5594050884246826,404550,197857
1000,33.86328125,356760,0.6463038921356201,499500,255442
2000,33.88671875,356760,2.5003108978271484,1999000,961641
3000,33.88671875,356704,5.573063611984253,4498500,2143705
4000,34.015625,356704,10.535941362380981,7998000,3956877
5000,33.97265625,356704,16.6459801197052,12497500,6142488
6000,34.25,356704,23.661654233932495,17997000,8987898
7000,34.3203125,356701,32.22134709358215,24496500,12297344
8000,34.29296875,356704,43.485851526260376,31996000,15893080
9000,34.265625,356704,54.449522972106934,40495500,20035190
10000,34.140625,356648,68.64066505432129,49995000,24847482
20000,34.29296875,356704,266.7842814922333,199990000,98331737
30000,34.171875,356704,618.7266027927399,449985000,223205874
40000,34.1875,356704,1071.2805197238922,799980000,395467564
50000,34.33984375,356760,1717.5679106712341,1249975000,619072826
60000,34.64453125,356704,2421.1408789157867,1799970000,890226821
70000,34.76953125,356704,3356.3232295513153,2449965000,1213658986
80000,34.875,356704,4394.265160322189,3199960000,1583478588
