vector_size,memory_peak_rss,memory_peak_python_interpreter,execute_time,comparisions,swappings
20,34.19921875,365949,0.7360312938690186,784,140
30,34.16015625,365176,0.7421624660491943,910,210
40,33.9296875,364728,0.7857255935668945,973,280
50,34.07421875,364052,0.7314600944519043,1050,350
60,34.171875,364056,0.7407393455505371,1113,420
70,34.203125,363540,0.7551333904266357,1190,490
80,34.00390625,363860,0.7440202236175537,1260,560
90,34.21484375,362964,0.7530219554901123,1330,630
100,34.00390625,361236,0.7452068328857422,1400,700
200,34.01953125,360092,0.7423663139343262,2100,1400
300,33.9609375,360648,0.7522478103637695,2800,2100
400,34.11328125,360644,0.7508542537689209,3500,2800
500,34.01953125,360229,0.7413256168365479,4200,3500
600,34.21875,360572,0.7407867908477783,4900,4200
700,34.0703125,360521,0.7477519512176514,5600,4900
800,34.28515625,360080,0.7863926887512207,6300,5600
900,34.01171875,358449,0.7276766300201416,7000,6300
1000,34.09765625,360561,0.7456257343292236,7700,7000
2000,34.03515625,360052,0.7613379955291748,14700,14000
3000,34.20703125,362416,0.7644922733306885,21700,21000
4000,34.30078125,366090,0.4414682388305664,16400,16000
5000,34.12109375,371097,0.3679378032684326,15300,15000
6000,34.40234375,379033,0.3550102710723877,18300,18000
7000,34.51953125,387181,0.3682572841644287,21300,21000
8000,34.5,395181,0.3639490604400635,24300,24000
9000,34.36328125,403153,0.3709249496459961,27300,27000
10000,34.49609375,411153,0.3781263828277588,30300,30000
20000,34.64453125,488965,0.2840404510498047,40200,40000
30000,35.1171875,568990,0.32683491706848145,60200,60000
40000,34.7109375,649105,0.35375332832336426,80200,80000
50000,35.203125,729049,0.39757490158081055,100200,100000
60000,35.203125,809105,0.4385354518890381,120200,120000
70000,35.2265625,889046,0.47023487091064453,140200,140000
80000,35.640625,968993,0.5100088119506836,160200,160000
90000,35.96875,1041649,0.37487220764160156,90100,90000
100000,36.1953125,1130014,0.6452643871307373,200200,200000
200000,37.1796875,1921585,0.5039916038513184,200100,200000
300000,38.828125,2721585,0.7899763584136963,300100,300000
400000,40.453125,3521585,0.9038240909576416,400100,400000
500000,42.13671875,4321501,1.1177101135253906,500100,500000
600000,43.3359375,5121591,1.2825686931610107,600100,600000
700000,45.28515625,5921462,1.4840288162231445,700100,700000
800000,46.4375,6721585,1.5578007698059082,800100,800000
900000,48.265625,7521525,1.7503390312194824,900100,900000
1000000,49.828125,8321493,1.9450626373291016,1000100,1000000
2000000,65.0546875,16321465,3.718507766723633,2000100,2000000
3000000,80.32421875,24321521,5.749545574188232,3000100,3000000
4000000,96.2890625,32321577,7.54980993270874,4000100,4000000
5000000,111.44140625,40321521,9.070183515548706,5000100,5000000
6000000,126.75,48321577,11.421445608139038,6000100,6000000
7000000,135.02734375,56321577,13.608030796051025,7000100,7000000
8000000,150.14453125,64321521,16.84473419189453,8000100,8000000
9000000,165.390625,72321705,21.961707592010498,9000100,9000000
