vector_size,memory_peak_rss,memory_peak_python_interpreter,execute_time,comparisions,swappings
20,34.12109375,386540,0.7434406280517578,354,354
30,34.1328125,386276,0.7300827503204346,575,575
40,33.8984375,386912,0.8141705989837646,881,881
50,33.94921875,386352,0.7614338397979736,1146,1146
60,33.88671875,386500,0.7468769550323486,1423,1423
70,34.12890625,386468,0.7401583194732666,1755,1755
80,34.1484375,386732,0.7520554065704346,2076,2076
90,34.0859375,385844,0.7487001419067383,2467,2467
100,33.89453125,386356,0.7673065662384033,2768,2768
200,34.23046875,385340,0.7422382831573486,6434,6434
300,34.26171875,385032,0.7473907470703125,10527,10527
400,33.9375,384336,0.762516975402832,14673,14673
500,33.84375,384780,0.7760148048400879,18925,18925
600,33.9375,379442,0.456010103225708,14282,14282
700,34.1640625,379618,0.45934581756591797,16986,16986
800,34.2265625,379167,0.4906630516052246,19834,19834
900,33.79296875,370725,0.36625170707702637,17589,17589
1000,33.91796875,370725,0.35612034797668457,19930,19930
2000,33.98046875,384045,0.4089176654815674,45060,45060
3000,34.0546875,398133,0.31154894828796387,50358,50358
4000,34.05859375,414389,0.3348674774169922,70166,70166
5000,34.015625,430213,0.40192198753356934,89692,89692
6000,34.38671875,446181,0.40813493728637695,110252,110252
7000,34.3671875,462117,0.4467453956604004,130660,130660
8000,34.4296875,477487,0.4811279773712158,152955,152955
9000,34.33203125,494802,0.5238616466522217,173581,173581
10000,34.40625,510533,0.5497701168060303,194188,194188
20000,34.44140625,504961,0.5119235515594482,260238,260238
30000,34.4375,585765,0.7480251789093018,407562,407562
40000,34.51953125,666813,0.9729688167572021,560402,560402
50000,34.734375,747361,1.2168478965759277,716542,716542
60000,34.83203125,829321,1.4624311923980713,874985,874985
70000,35.140625,910305,1.6237239837646484,1036287,1036287
80000,35.3828125,990273,1.9744343757629395,1200672,1200672
90000,35.8671875,1072154,2.681823492050171,1365586,1365586
100000,35.39453125,1152481,2.6160826683044434,1532606,1532606
200000,36.94921875,1961777,5.141156911849976,3263555,3263555
300000,38.7109375,2768521,7.659754753112793,5070929,5070929
400000,40.33984375,3576657,10.967490911483765,6925543,6925543
500000,41.921875,4383425,13.929691076278687,8811640,8811640
600000,43.5546875,5192945,17.05867099761963,10738863,10738863
700000,45.203125,6002561,20.051968574523926,12685561,12685561
800000,46.3125,6810433,23.04457664489746,14647156,14647156
900000,48.015625,7616601,25.733577251434326,16629513,16629513
1000000,49.609375,8425873,28.52402687072754,18618655,18618655
2000000,65.1875,16506361,58.564146280288696,39226384,39226384
3000000,80.37109375,24583409,91.29406523704529,60627988,60627988
4000000,96.37109375,32666097,126.52044034004211,82440360,82440360
5000000,111.8828125,40738749,161.1483175754547,104711949,104711949
6000000,126.63671875,48822953,193.73044967651367,127222175,127222175
7000000,135.140625,56904321,228.86247181892395,149954180,149954180
8000000,149.609375,64980049,264.0533764362335,172833032,172833032
9000000,164.546875,73059942,311.2667324542999,196000975,196000975
20000000,334.20703125,161923361,698.2845335006714,458648653,458648653
