vector_size,memory_peak_rss,memory_peak_python_interpreter,execute_time,comparisions,swappings
20,33.8828125,385952,0.7353708744049072,374,32
30,33.92578125,384376,0.732842206954956,629,59
40,34.05859375,386440,0.7913839817047119,941,81
50,33.8828125,386352,0.7441506385803223,1273,94
60,33.8671875,386584,0.7509820461273193,1555,190
70,34.16015625,386120,0.7312040328979492,2030,195
80,33.90234375,385869,0.7382051944732666,2432,261
90,33.8984375,385748,0.7562003135681152,2745,292
100,34.125,386052,0.7373278141021729,3043,374
200,33.94140625,385290,0.7398819923400879,6967,1171
300,33.984375,385320,0.7536625862121582,11476,2141
400,34.1640625,384940,0.7399425506591797,15705,3178
500,33.92578125,385037,0.7560944557189941,20501,4526
600,34.24609375,384734,0.7673776149749756,25251,5877
700,33.84765625,383252,0.7584691047668457,29762,7498
800,33.9921875,385112,0.8637397289276123,35405,9200
900,33.95703125,379802,0.4494950771331787,22768,6753
1000,34.046875,373397,0.4529604911804199,25205,7854
2000,33.89453125,372138,0.3710670471191406,41808,15585
3000,34.05859375,373129,0.41694188117980957,59156,26279
4000,33.92578125,368059,0.2910959720611572,53146,26872
5000,34.04296875,373357,0.3257746696472168,66300,35160
6000,34.2109375,372986,0.3331022262573242,78721,43576
7000,34.28125,374003,0.35836052894592285,91376,52708
8000,34.29296875,372509,0.3747093677520752,97513,62379
9000,34.30078125,371973,0.39445948600769043,112346,70867
10000,34.20703125,371370,0.4163248538970947,116927,80674
20000,34.23828125,356748,0.3284311294555664,116629,101852
30000,34.26953125,356748,0.4374959468841553,156202,163114
40000,34.29296875,357543,0.5545392036437988,226898,225725
50000,34.2578125,357119,0.6837928295135498,284161,286963
60000,34.65625,356748,0.7482092380523682,300622,354626
70000,34.765625,356745,0.9016036987304688,336266,422269
80000,34.87109375,356748,1.0244512557983398,403551,488920
90000,34.65625,359551,1.4054582118988037,592271,558623
100000,34.7421875,358599,1.4271807670593262,596105,624765
200000,35.91796875,361351,2.8774497509002686,1268064,1356998
300000,36.359375,360871,4.52183985710144,1889676,2125586
400000,37.17578125,360812,6.105183839797974,2723034,2907541
500000,38.09765625,358499,7.4657745361328125,2559477,3726522
600000,39.01171875,359015,7.89689302444458,2995331,4549819
700000,39.3203125,360181,10.236149072647095,4449625,5363082
800000,40.21875,359911,11.086652040481567,4287091,6239152
900000,41.109375,359911,12.387269735336304,5028892,7057509
1000000,41.9921875,360807,13.954906702041626,5169263,7955078
2000000,49.71875,361228,29.304128646850586,10885637,16825523
3000000,57.53125,361739,47.134803771972656,18717194,26095722
4000000,65.64453125,361227,61.00333595275879,21373048,35715190
5000000,73.265625,360271,74.99753713607788,25486448,45347200
6000000,80.7734375,361823,95.20225477218628,33004405,55454103
7000000,80.90234375,361767,109.47525262832642,34783972,65539056
8000000,88.1953125,362191,129.13065934181213,38798770,75553602
9000000,95.7109375,362251,175.76394295692444,51574626,85237596
